iter	Passed	Remaining
461	18331	21346
462	18367	21303
463	18404	21260
464	18441	21217
465	18481	21178
466	18518	21136
467	18555	21093
468	18593	21051
469	18629	21007
470	18666	20964
471	18704	20923
472	18740	20880
473	18777	20837
474	18813	20794
475	18849	20750
476	18887	20709
477	18945	20689
478	18983	20647
479	19020	20605
480	19056	20562
481	19093	20519
482	19130	20476
483	19166	20433
484	19203	20391
485	19240	20349
486	19278	20307
487	19314	20264
488	19351	20221
489	19388	20180
490	19425	20137
491	19463	20096
492	19500	20053
493	19536	20010
494	19572	19968
495	19609	19925
496	19644	19882
497	19682	19840
498	19719	19798
499	19757	19757
500	19793	19714
501	19830	19672
502	19869	19632
503	19907	19591
504	19944	19549
505	19982	19508
506	20019	19466
507	20057	19425
508	20095	19384
509	20132	19342
510	20169	19301
511	20206	19258
512	20243	19217
513	20280	19175
514	20317	19133
515	20353	19091
516	20389	19048
517	20426	19007
518	20466	18968
519	20503	18926
520	20540	18884
521	20579	18844
522	20615	18802
523	20652	18761
524	20690	18719
525	20727	18678
526	20765	18638
527	20803	18597
528	20840	18555
529	20878	18515
530	20914	18472
531	20952	18431
532	20989	18390
533	21025	18348
534	21063	18307
535	21098	18264
536	21135	18222
537	21171	18180
538	21208	18139
539	21244	18097
540	21282	18056
541	21319	18015
542	21356	17973
543	21395	17934
544	21433	17894
545	21472	17854
546	21513	17816
547	21551	17776
548	21589	17735
549	21626	17694
550	21667	17656
551	21705	17615
552	21744	17576
553	21784	17537
554	21822	17497
555	21864	17460
556	21903	17420
557	21943	17381
558	21982	17342
559	22021	17302
560	22062	17264
561	22102	17225
562	22140	17185
563	22181	17147
564	22221	17108
565	22263	17071
566	22301	17030
567	22339	16990
568	22378	16950
569	22416	16910
570	22456	16871
571	22494	16831
572	22531	16790
573	22579	16757
574	22618	16717
575	22656	16677
576	22693	16636
577	22730	16595
578	22769	16556
579	22808	16516
580	22845	16475
581	22884	16435
582	22921	16395
583	22960	16355
584	22999	16315
585	23036	16275
586	23075	16235
587	23114	16195
588	23152	16155
589	23190	16115
590	23228	16075
591	23266	16034
592	23303	15993
593	23342	15954
594	23380	15914
595	23418	15874
596	23456	15834
597	23494	15793
598	23530	15752
599	23568	15712
600	23605	15671
601	23642	15630
602	23678	15589
603	23714	15548
604	23752	15507
605	23789	15466
606	23825	15425
607	23862	15385
608	23898	15343
609	23937	15304
610	23973	15263
611	24012	15223
612	24050	15183
613	24085	15142
614	24122	15100
615	24160	15061
616	24196	15020
617	24233	14979
618	24270	14938
619	24306	14897
620	24352	14862
621	24389	14821
622	24427	14781
623	24463	14741
624	24501	14700
625	24539	14661
626	24576	14620
627	24612	14579
628	24650	14539
629	24687	14498
630	24723	14458
631	24764	14420
632	24801	14379
633	24840	14340
634	24875	14298
635	24912	14257
636	24950	14218
637	24987	14177
638	25024	14137
639	25062	14097
640	25097	14056
641	25135	14016
642	25172	13975
643	25209	13935
644	25247	13895
645	25284	13855
646	25320	13814
647	25358	13774
648	25394	13734
649	25431	13693
650	25468	13653
651	25504	13613
652	25542	13573
653	25579	13533
654	25615	13492
655	25653	13452
656	25708	13421
657	25746	13381
658	25786	13342
659	25831	13307
660	25871	13268
661	25909	13228
662	25947	13188
663	25985	13149
664	26025	13110
665	26064	13071
666	26100	13030
667	26137	12990
668	26176	12951
669	26213	12910
670	26249	12870
671	26285	12829
672	26322	12789
673	26358	12749
674	26397	12709
675	26436	12670
676	26472	12630
677	26510	12590
678	26546	12549
679	26584	12510
680	26622	12470
681	26657	12429
682	26694	12389
683	26732	12349
684	26769	12310
685	26806	12270
686	26843	12230
687	26880	12189
688	26917	12149
689	26953	12109
690	26992	12070
691	27038	12034
692	27075	11994
693	27112	11954
694	27150	11914
695	27187	11874
696	27225	11835
697	27261	11795
698	27300	11756
699	27336	11715
700	27373	11675
701	27410	11635
702	27445	11595
703	27481	11554
704	27520	11515
705	27558	11476
706	27594	11436
707	27630	11395
708	27668	11356
709	27709	11317
710	27747	11278
711	27783	11238
712	27821	11198
713	27857	11158
714	27895	11119
715	27932	11079
716	27969	11039
717	28007	11000
718	28043	10959
719	28080	10920
720	28118	10880
721	28156	10841
722	28192	10801
723	28230	10761
724	28266	10721
725	28303	10682
726	28342	10642
727	28379	10603
728	28416	10563
729	28451	10523
730	28490	10484
731	28529	10445
732	28566	10405
733	28604	10366
734	28641	10326
735	28678	10286
736	28716	10247
737	28752	10207
738	28789	10167
739	28824	10127
740	28864	10088
741	28902	10049
742	28940	10010
743	28976	9970
744	29012	9930
745	29050	9891
746	29088	9852
747	29125	9812
748	29163	9773
749	29200	9733
750	29237	9693
751	29274	9654
752	29312	9615
753	29351	9576
754	29392	9537
755	29428	9497
756	29465	9458
757	29504	9419
758	29541	9380
759	29578	9340
760	29614	9300
761	29650	9260
762	29689	9222
763	29729	9183
764	29768	9144
765	29808	9105
766	29845	9066
767	29884	9027
768	29921	8988
769	29959	8948
770	29997	8909
771	30033	8870
772	30071	8830
773	30108	8791
774	30146	8752
775	30184	8713
776	30221	8673
777	30257	8633
778	30296	8594
779	30332	8555
780	30369	8516
781	30407	8476
782	30443	8437
783	30480	8397
784	30518	8358
785	30556	8319
786	30594	8280
787	30630	8240
788	30667	8201
789	30704	8161
790	30743	8123
791	30780	8083
792	30840	8050
793	30887	8013
794	30930	7975
795	30967	7936
796	31004	7897
797	31040	7857
798	31078	7818
799	31116	7779
800	31153	7739
801	31190	7700
802	31226	7660
803	31264	7621
804	31301	7582
805	31339	7543
806	31379	7504
807	31417	7465
808	31453	7426
809	31491	7386
810	31529	7347
811	31566	7308
812	31602	7269
813	31639	7229
814	31676	7190
815	31713	7151
816	31750	7111
817	31787	7072
818	31825	7033
819	31864	6994
820	31901	6955
821	31938	6916
822	31976	6877
823	32012	6837
824	32050	6798
825	32088	6759
826	32125	6720
827	32162	6681
828	32198	6641
829	32236	6602
830	32274	6563
831	32310	6524
832	32348	6485
833	32386	6446
834	32422	6406
835	32467	6369
836	32504	6329
837	32542	6291
838	32586	6253
839	32624	6214
840	32662	6175
841	32698	6135
842	32734	6096
843	32772	6057
844	32808	6018
845	32846	5979
846	32883	5939
847	32919	5900
848	32957	5861
849	32993	5822
850	33031	5783
851	33069	5744
852	33106	5705
853	33141	5665
854	33180	5627
855	33216	5587
856	33253	5548
857	33290	5509
858	33327	5470
859	33365	5431
860	33402	5392
861	33440	5353
862	33478	5314
863	33516	5275
864	33553	5236
865	33590	5197
866	33627	5158
867	33666	5119
868	33707	5081
869	33743	5042
870	33783	5003
871	33844	4967
872	33883	4929
873	33920	4890
874	33957	4851
875	33995	4812
876	34032	4773
877	34071	4734
878	34108	4695
879	34145	4656
880	34183	4617
881	34218	4577
882	34256	4539
883	34295	4500
884	34331	4461
885	34369	4422
886	34406	4383
887	34444	4344
888	34480	4305
889	34518	4266
890	34555	4227
891	34592	4188
892	34628	4149
893	34666	4110
894	34704	4071
895	34741	4032
896	34777	3993
897	34814	3954
898	34852	3915
899	34889	3876
900	34925	3837
901	34962	3798
902	34999	3759
903	35036	3720
904	35073	3681
905	35111	3642
906	35149	3604
907	35186	3565
908	35223	3526
909	35261	3487
910	35298	3448
911	35337	3409
912	35374	3370
913	35412	3331
914	35449	3293
915	35488	3254
916	35527	3215
917	35564	3176
918	35601	3137
919	35640	3099
920	35677	3060
921	35714	3021
922	35751	2982
923	35787	2943
924	35825	2904
925	35862	2865
926	35899	2827
927	35937	2788
928	35974	2749
929	36011	2710
930	36050	2671
931	36088	2633
932	36125	2594
933	36163	2555
934	36200	2516
935	36237	2477
936	36274	2438
937	36311	2400
938	36350	2361
939	36387	2322
940	36424	2283
941	36461	2244
942	36499	2206
943	36536	2167
944	36573	2128
945	36610	2089
946	36649	2051
947	36686	2012
948	36722	1973
949	36761	1934
950	36798	1896
951	36836	1857
952	36874	1818
953	36911	1779
954	36948	1741
955	36985	1702
956	37022	1663
957	37060	1624
958	37098	1586
959	37135	1547
960	37174	1508
961	37210	1469
962	37248	1431
963	37286	1392
964	37323	1353
965	37361	1314
966	37399	1276
967	37437	1237
968	37476	1198
969	37514	1160
970	37551	1121
971	37590	1082
972	37627	1044
973	37665	1005
974	37702	966
975	37739	928
976	37776	889
977	37813	850
978	37850	811
979	37905	773
980	37942	734
981	37981	696
982	38019	657
983	38056	618
984	38094	580
985	38131	541
986	38168	502
987	38205	464
988	38243	425
989	38279	386
990	38316	347
991	38353	309
992	38392	270
993	38430	231
994	38466	193
995	38504	154
996	38540	115
997	38578	77
998	38615	38
999	38652	0
